id,idx,tweet,category,subcategory,target_num
98221616,4976,$ARNA APD334 for Amyotrophic Lateral Sclerosis $ALS ?There are lots of references on the web for this--&gt; https://www.als.net/docs/uploads/why_might_gilenya_be_helpful_for_als.pdf,Product Number,Product Number,334
82321187,9839,"$OCLR Noob investor that i am, put a 7.38 stop which got hit after ER+missed the uptrend because of work. Need a good swing trade this week!",Monetary,stop loss,7.38
103328840,1455,$ES_F $SPY Bias-2 bearish and the DLT-1 DRR are now the day&#39;s resistance,Product Number,Product Number,1
104840294,1111,$TMUS its acquisition of Layer3 TV The purchase pushes into cable and satellite the TV industry into the mobile age and 5G era. $RSYS  happy,Product Number,Product Number,5
69935467,2373,$TWTR ^Buy  $WSTL 68c up 14%  4 time avg vol. Powerful January Effect &amp; Sustainable profitable growth ahead. $5 P T: http://seekingalpha.com/instablog/44479986-leny-hettmansperger/4942862-wstl-65c-can-find-better-stock-2017-beyond-2016-roller-coaster-ride-coming-end,Percentage,relative,14
69935467,2373,$TWTR ^Buy  $WSTL 68c up 14%  4 time avg vol. Powerful January Effect &amp; Sustainable profitable growth ahead. $5 P T: http://seekingalpha.com/instablog/44479986-leny-hettmansperger/4942862-wstl-65c-can-find-better-stock-2017-beyond-2016-roller-coaster-ride-coming-end,Quantity,Quantity,4
69935467,2373,$TWTR ^Buy  $WSTL 68c up 14%  4 time avg vol. Powerful January Effect &amp; Sustainable profitable growth ahead. $5 P T: http://seekingalpha.com/instablog/44479986-leny-hettmansperger/4942862-wstl-65c-can-find-better-stock-2017-beyond-2016-roller-coaster-ride-coming-end,Monetary,forecast,5
94249158,1372,$SEED L2 Capital deal is real savvy. It takes 33 years at $DD to land L2. HARVARD?HA! Maybe cut your salary like you cut every other plan.,Temporal,date,33
100979260,505,$BTE $BTE.CA $MEG.CA $CPG $CPG.CA $CJ.CA - 4th Q  ongoing  WTI spot- $52.17,Temporal,date,4
100775772,1210,$WRN My fav $WRN pattern on my watchlist for 11/09/17. Very nice support at 0.96 so well see if we can get an entry aro,Temporal,date,11
100775772,1210,$WRN My fav $WRN pattern on my watchlist for 11/09/17. Very nice support at 0.96 so well see if we can get an entry aro,Temporal,date,09
100775772,1210,$WRN My fav $WRN pattern on my watchlist for 11/09/17. Very nice support at 0.96 so well see if we can get an entry aro,Temporal,date,17.
100775772,1210,$WRN My fav $WRN pattern on my watchlist for 11/09/17. Very nice support at 0.96 so well see if we can get an entry aro,Monetary,support or resistance,0.96
100165290,7463,$AMD IRS still hasnt issued my 5K refund its been 7 weeks. Would have bought more amd shares.,Temporal,date,7
102027613,7122,"$6E_F $DAX #BONDS Despite the biggest econ boom since the 1990s, #Japanification intact. Bund yields = #Japan &#39;90s.",Temporal,date,1990
102027613,7122,"$6E_F $DAX #BONDS Despite the biggest econ boom since the 1990s, #Japanification intact. Bund yields = #Japan &#39;90s.",Temporal,date,90
